Title,Minutes Played,Hours Played,Release Date,Developers,Publishers,Metascore
Puzzle Dimension,23,0.39,21-Jun-10,"Doctor Entertainment,                                                                       Doctor Entertainment AB","Doctor Entertainment,                                                                       Doctor Entertainment AB",79
Castle Crashers,23,0.39,26-Sep-12,The Behemoth,The Behemoth,
Garry's Mod,22,0.37,29-Nov-06,"Garry,                                                                       Facepunch Studios",Valve,
Grand Theft Auto: San Andreas,21,0.35,6-Jan-11,Rockstar Games,Rockstar Games,93
Machinarium,21,0.35,16-Oct-09,Amanita Design,Amanita Design,85
Stikbold!,21,0.35,1-Apr-16,Game Swing,Curve Digital,
Jet Set Radio,20,0.34,19-Sep-12,Blit Software,"Sega,                                                                       SEGA",
Everyday Shooter,18,0.3,8-May-08,Queasy Games,,77
Kerbal Space Program,18,0.3,27-Apr-15,Squad,"Squad,                                                                       Private Division",88
Duke Nukem 3D: Megaton Edition,16,0.27,,"3D Realms,                                                                       General Arcade",Devolver Digital,
Organ Trail: Director's Cut,16,0.27,19-Mar-13,The Men Who Wear Many Hats,The Men Who Wear Many Hats,
Hero Academy,15,0.25,10-Aug-12,Robot Entertainment,Robot Entertainment,75
Spelunky,15,0.25,8-Aug-13,,Mossmouth,90
Hidden Folks,15,0.25,15-Feb-17,"Adriaan de Jongh,                                                                       Sylvain Tegroeg",Adriaan de Jongh,78
All Zombies Must Die!,14,0.24,12-Mar-12,Doublesix Games,Doublesix Games,
Sacred Citadel,14,0.24,16-Apr-13,Southend,Deep Silver,61
SpeedRunners,14,0.24,19-Apr-16,DoubleDutch Games,tinyBuild,84
Frozen Synapse,13,0.22,26-May-11,Mode 7,Mode 7,85
The Ball,13,0.22,26-Oct-10,Teotl Studios,Tripwire Interactive,68
"Papers, Please",13,0.22,8-Aug-13,3909,3909,85
Borderlands: The Pre-Sequel,13,0.22,13-Oct-14,"2K Australia,                                                                       Gearbox Software,                                                                       Aspyr (Mac & Linux),                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)","2K,                                                                       Aspyr (Mac & Linux),                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)",75
Unturned,13,0.22,7-Jul-17,"Nelson Sexton,                                                                       Smartly Dressed Games",Smartly Dressed Games,
Dota 2,12,0.2,9-Jul-13,Valve,Valve,90
Rock of Ages,11,0.19,7-Sep-11,ACE Team,"ATLUS,                                                                       ATLUS USA",74
Hamilton's Great Adventure,11,0.19,31-May-11,Fatshark,Fatshark,77
Microcosmum: survival of cells,11,0.19,24-Jul-15,"Alexander Byzov,                                                                       Satur Entertainment","Alexander Byzov,                                                                       Satur Entertainment",
VVVVVV,10,0.17,7-Sep-10,Terry Cavanagh,Terry Cavanagh,81
Botanicula,10,0.17,7-May-12,Amanita Design,Amanita Design,82
The Escapists 2,10,0.17,21-Aug-17,"Team17 Digital Ltd,                                                                       Mouldy Toof Studios",Team17 Digital Ltd,75
STAR WARS™ Jedi Knight: Dark Forces II,9,0.15,16-Sep-09,LucasArts,"LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive",91
Soccer Rage,9,0.15,2-Jun-15,Stamina-Games,Stamina-Games,
Mega Man Legacy Collection,9,0.15,24-Aug-15,Capcom,Capcom,85
Saira,8,0.14,,Nicklas Nygren,Kreatoriet AB,
Ampu-Tea,8,0.14,30-May-14,ProjectorGames,KISS ltd,
The Elder Scrolls V: Skyrim Special Edition,7,0.12,27-Oct-16,Bethesda Game Studios,Bethesda Softworks,74
RPG Maker VX Ace,6,0.1,10-Dec-12,Enterbrain,Degica,
Gnomoria,6,0.1,23-Feb-16,Robotronic Games,Robotronic Games,
Acceleration of SUGURI 2,6,0.1,7-Mar-18,Orange_Juice,Fruitbat Factory,
Old Man's Journey,6,0.1,17-May-17,Broken Rules,Broken Rules,76
STAR WARS™ Jedi Knight: Jedi Academy™,5,0.09,16-Sep-09,"Raven Software,                                                                       Aspyr (Mac)","LucasArts,                                                                       Aspyr (Mac),                                                                       Lucasfilm,                                                                       Disney Interactive",81
Democracy 2,4,0.07,11-Oct-12,Positech Games,"Positech,                                                                       Positech Games",
EARTH DEFENSE FORCE 4.1  The Shadow of New Despair,4,0.07,18-Jul-16,SANDLOT,D3 PUBLISHER,79
Jalopy,4,0.07,28-Mar-18,Minskworks,"Excalbur Games,                                                                       Excalibur Games",65
AVSEQ,3,0.05,23-Aug-12,Big Robot Ltd,Big Robot Ltd,
Viscera Cleanup Detail: Shadow Warrior,3,0.05,11-Oct-13,RuneStorm,Devolver Digital,
Red Faction II,2,0.04,6-Aug-09,"Volition, Inc.","Nordic Games,                                                                       THQ Nordic",64
Lethal League,2,0.04,27-Aug-14,Team Reptile,Team Reptile,82
Half-Life,1,0.02,8-Nov-98,Valve,Valve,96
Sid Meier's Civilization IV,1,0.02,25-Oct-06,Firaxis Games,"2K Games,                                                                       2K",94
Alan Wake,1,0.02,16-Feb-12,Remedy Entertainment,Remedy Entertainment,83
Blueberry Garden,1,0.02,9-Jun,"Erik SvedÃ¤ng,                                                                       Erik Svedang,                                                                       Erik Svedäng","Erik SvedÃ¤ng,                                                                       Erik Svedang,                                                                       Erik Svedäng",68
Bear With Me - Collector's Edition,1,0.02,8-Feb-18,Exordium Games,Exordium Games,
Unreal II: The Awakening,0,0,17-Mar-08,"Epic Games, Inc.","Epic Games, Inc.",75
Unreal Tournament 2004,0,0,17-Mar-04,"Epic Games, Inc.","Epic Games, Inc.",93
Unreal Tournament: Game of the Year Edition,0,0,17-Mar-08,"Epic Games, Inc.","Epic Games, Inc.",92
Unreal Gold,0,0,17-Mar-08,"Epic Games, Inc.","Epic Games, Inc.",
Team Fortress Classic,0,0,1-Apr-99,Valve,Valve,
Half-Life: Opposing Force,0,0,1-Nov-99,Gearbox Software,Valve,
Half-Life: Blue Shift,0,0,1-Jun-01,Gearbox Software,Valve,71
Half-Life 2: Deathmatch,0,0,1-Nov-04,Valve,Valve,
Half-Life 2: Lost Coast,0,0,27-Oct-05,Valve,Valve,
Half-Life Deathmatch: Source,0,0,1-May-06,Valve,Valve,
Half-Life 2: Episode One,0,0,1-Jun-06,Valve,Valve,87
Half-Life 2: Episode Two,0,0,10-Oct-07,Valve,Valve,90
The Last Remnant,0,0,9-Apr-09,"SQUARE ENIX,                                                                       Square Enix","SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",66
The Elder Scrolls III: Morrowind,0,0,16-Jun-09,"Bethesda Game Studios,                                                                       Bethesda Game Studios",Bethesda Softworks,89
Serious Sam Fusion 2017 (beta),0,0,,Croteam,"Devolver Digital,                                                                       Croteam",
LEGO® Star Wars™: The Complete Saga,0,0,12-Nov-09,"Traveller's Tales ,                                                                       Traveller's Tales,                                                                       Feral Interactive (Mac)","LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive,                                                                       Feral Interactive (Mac)",77
Total War: EMPIRE - Definitive Edition,0,0,3-Mar-09,"The Creative Assembly,                                                                       Feral Interactive (Mac),                                                                       Feral Interactive (Linux),                                                                       CREATIVE ASSEMBLY","SEGA,                                                                       Feral Interactive (Mac),                                                                       Feral Interactive (Linux)",90
Sid Meier's Civilization IV: Warlords,0,0,6-Apr-07,Firaxis Games,"2K Games,                                                                       2K",84
Sid Meier's Civilization IV: Beyond the Sword,0,0,24-Jul-07,Firaxis Games,"2K Games,                                                                       2K",86
Sid Meier's Civilization IV: Colonization,0,0,23-Sep-08,Firaxis Games,"2K Games,                                                                       2K",83
Sid Meier's Civilization IV,0,0,25-Oct-06,Firaxis Games,"2K Games,                                                                       2K",94
Sid Meier's Civilization IV: Warlords,0,0,6-Apr-07,Firaxis Games,"2K Games,                                                                       2K",84
Sid Meier's Civilization IV: Beyond the Sword,0,0,24-Jul-07,Firaxis Games,"2K Games,                                                                       2K",86
Kane & Lynch 2: Dog Days,0,0,17-Aug-10,IO Interactive,"SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",66
Lara Croft and the Guardian of Light,0,0,28-Sep-10,"Crystal Dynamics Inc.,                                                                       Crystal Dynamics","SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",82
Oddworld: Abe's Oddysee,0,0,28-Aug-08,Oddworld Inhabitants,Oddworld Inhabitants,
Oddworld: Abe's Exoddus,0,0,28-Aug-08,Oddworld Inhabitants,Oddworld Inhabitants,
Oddworld: Munch's Oddysee,0,0,20-Dec-10,Oddworld Inhabitants,Oddworld Inhabitants,
Oddworld: Stranger's Wrath HD,0,0,20-Dec-10,Oddworld Inhabitants,Oddworld Inhabitants,
Spec Ops: The Line,0,0,25-Jun-12,"Yager,                                                                       Yager Development","2K Games,                                                                       2K,                                                                       Missing Link Games",76
Portal 2,0,0,19-Apr-11,Valve,Valve,95
Duke Nukem Forever,0,0,14-Jun-11,Gearbox Software,"2K Games,                                                                       2K",54
LIMBO,0,0,2-Aug-11,Playdead,Playdead,88
Deus Ex: Game of the Year Edition,0,0,29-Mar-07,Ion Storm,"SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",90
Supreme Commander,0,0,28-Sep-11,Gas Powered Games,"Nordic Games,                                                                       Square Enix",86
Gemini Rue,0,0,26-Oct-11,Joshua Neurnberger,Wadjet Eye Games,82
Grand Theft Auto III,0,0,6-Jan-11,Rockstar Games,Rockstar Games,93
Grand Theft Auto: Vice City,0,0,10-Jan-11,Rockstar Games,Rockstar Games,94
Grand Theft Auto III,0,0,None,,,93
Grand Theft Auto: Vice City,0,0,None,,,-
Grand Theft Auto: San Andreas,0,0,None,,,-
Serious Sam 3: BFE,0,0,22-Nov-11,Croteam,Devolver Digital,72
Trine 2,0,0,6-Jun-13,Frozenbyte,Frozenbyte,84
The Darkness II,0,0,6-Feb-12,Digital Extremes,"2K Games,                                                                       2K",77
LEGO® Harry Potter: Years 5-7,0,0,5-Jan-12,"Traveller's Tales ,                                                                       Traveller's Tales",Warner Bros. Interactive Entertainment,80
Hitman: Blood Money,0,0,15-Mar-07,"IO Interactive,                                                                       Io-Interactive A/S","SQUARE ENIX, Eidos Interactive,                                                                       Io-Interactive A/S",82
Mini Ninjas,0,0,8-Sep-09,IO Interactive,"SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",74
Containment: The Zombie Puzzler,0,0,2-Mar-12,Bootsnake Games,Bootsnake Games,
Faerie Solitaire Remastered,0,0,22-Dec-17,Subsoap,Subsoap,
A Valley Without Wind 2,0,0,18-Feb-13,"Arcen Games, LLC","Arcen Games,                                                                       Arcen Games, LLC",68
Deus Ex: Invisible War,0,0,29-Mar-07,Ion Storm,"SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",80
Sniper Elite V2,0,0,30-Apr-12,Rebellion,Rebellion,66
Battlestations: Midway,0,0,15-Mar-07,Eidos Interactive,"SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",76
Just Cause,0,0,15-Mar-07,"Avalanche,                                                                       Avalanche Studios","SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",75
Thief Gold,0,0,22-May-12,Looking Glass Studios,"SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",92
Gratuitous Tank Battles,0,0,17-May-12,Positech Games,Positech Games,69
BioShock 2 Remastered,0,0,15-Sep-16,"2K Marin,                                                                       2K China,                                                                       Digital Extremes,                                                                       2K Australia,                                                                       Blind Squirrel",2K,
LEGO® Batman™ 2: DC Super Heroes,0,0,22-Jun-12,TT Games,Warner Bros. Interactive Entertainment,
Eufloria HD,0,0,14-Oct-14,"Rudolf Kremers & Alex May,                                                                       Tuna",Omni Systems,
Red Faction: Armageddon,0,0,7-Jun-11,Volition,"Nordic Games,                                                                       THQ Nordic",75
Red Faction Guerrilla Re-Mars-tered,0,0,3-Jul-18,"Volition,                                                                       KAIKO",THQ Nordic,
Thomas Was Alone,0,0,12-Nov-12,"Mike Bithell,                                                                       Bithell Games","Mike Bithell,                                                                       Bithell Games",77
Lead and Gold - Gangs of the Wild West,0,0,8-Apr-10,Fatshark,"Paradox Interactive,                                                                       Fatshark",70
Bob Came in Pieces,0,0,22-Jan-10,Ludosity,Ludosity,73
McPixel,0,0,25-Sep-12,Sos,Sos Mikolaj Kaminski,76
Little Inferno,0,0,19-Nov-12,Tomorrow Corporation,Tomorrow Corporation,68
Sanctum,0,0,15-Apr-11,Coffee Stain Studios,"Coffee Stain Studios,                                                                       Coffee Stain Publishing",70
Dota 2 Test,0,0,,,,
Deadlight,0,0,25-Oct-12,"Tequila Works, S.L.",Microsoft Studios,78
Sniper Elite,0,0,16-Jul-09,Rebellion,Rebellion,76
Orcs Must Die! 2,0,0,30-Jul-12,Robot Entertainment,Robot Entertainment,83
Sonic and All-Stars Racing Transformed Metal Sonic DLC Pack,0,0,20-Feb-13,Sumo Digital,SEGA,
The Showdown Effect,0,0,5-Mar-13,Arrowhead Game Studios,Paradox Interactive,67
STAR WARS™ Jedi Knight: Mysteries of the Sith™,0,0,16-Sep-09,LucasArts,"LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive",
STAR WARS™: The Clone Wars - Republic Heroes™,0,0,6-Oct-09,Krome Studios,"LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive",46
STAR WARS™: The Force Unleashed™ II,0,0,26-Oct-10,Aspyr Studios,"LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive",59
Shattered Haven,0,0,18-Mar-13,"Arcen Games, LLC","Arcen Games,                                                                       Arcen Games, LLC",59
Darwinia,0,0,14-Jul-05,Introversion Software,Introversion Software,84
Uplink,0,0,23-Aug-06,Introversion Software,Introversion Software,75
DEFCON,0,0,29-Sep-06,Introversion Software,Introversion Software,84
Multiwinia,0,0,19-Sep-08,Introversion Software,Introversion Software,76
Sanctum 2,0,0,15-May-13,Coffee Stain Studios,"Coffee Stain Studios,                                                                       Coffee Stain Publishing",77
Resident Evil Revelations / Biohazard Revelations,0,0,21-May-13,Capcom,Capcom,77
Shadowrun Returns,0,0,25-Jul-13,Harebrained Schemes,Harebrained Holdings,76
Anomaly 2,0,0,15-May-13,"11 bit studios S.A.,                                                                       11 bit studios","11 bit studios S.A.,                                                                       11 bit studios",77
Gun Monkeys,0,0,,Size Five Games,Size Five Games,
Victoria II,0,0,30-Aug-10,Paradox Development Studio,Paradox Interactive,75
Victoria: Revolutions,0,0,20-Aug-10,Paradox Development Studio,Paradox Interactive,
Sacred 2 Gold,0,0,21-Dec-12,Ascaron,Deep Silver,
Risen,0,0,2-Oct-09,"Piranha â€“ Bytes ,                                                                       Piranha Bytes",Deep Silver,77
Anachronox,0,0,17-Oct-13,,"Square Enix, Eidos Interactive,                                                                       Square Enix",77
Medal of Honor(TM) Multiplayer,0,0,12-Oct-10,Electronic Arts,Electronic Arts,72
Rust - Staging Branch,0,0,,,,
Skullgirls ∞Endless Beta∞,0,0,,,,
Skullgirls,0,0,22-Aug-13,Lab Zero Games,"MAQL,                                                                       Marvelous,                                                                       Autumn Games",83
KnightShift,0,0,27-Sep-13,Reality Pump,Topware Interactive,
Duskers,0,0,18-May-16,Misfits Attic,Misfits Attic,83
Daikatana,0,0,1-Oct-13,,"Daikatana,                                                                       Square Enix",
Hitman: Contracts,0,0,21-Jan-14,Io-Interactive A/S,"Square Enix, Eidos Interactive,                                                                       Io-Interactive A/S",
Magicka,0,0,25-Jan-11,Arrowhead Game Studios,Paradox Interactive,74
Two Brothers,0,0,3-Dec-13,Ackk Studios,Ackk Studios,57
The Incredible Adventures of Van Helsing,0,0,22-May-13,NeocoreGames,NeocoreGames,72
Starbound - Unstable,0,0,,,,
Broken Age,0,0,28-Jan-14,Double Fine Productions,Double Fine Productions,73
Rise of the Argonauts,0,0,7-Jan-09,Liquid Entertainment,Codemasters,59
Operation Flashpoint: Red River,0,0,7-Jun-11,Codemasters Action Studio,Codemasters,67
Overlord II,0,0,24-Jun-09,"Triumph Studios,                                                                       Virtual Programming",Codemasters,79
DiRT Showdown,0,0,23-May-12,Codemasters Racing Studio,Codemasters,72
Mount & Blade: Warband,0,0,31-Mar-10,"Tale Worlds,                                                                       TaleWorlds Entertainment","Paradox Interactive,                                                                       TaleWorlds Entertainment",78
Freedom Force vs. the 3rd Reich,0,0,29-May-09,Irrational Games,"2K Games,                                                                       2K",
DARK SOULS™ II,0,0,25-Apr-14,"FromSoftware, Inc","Namco Bandai Games,                                                                       FromSoftware, Inc,                                                                       BANDAI NAMCO Entertainment",91
Deus Ex: The Fall,0,0,17-Mar-14,Square Enix,Square Enix,45
METAL GEAR SOLID V: THE PHANTOM PAIN,0,0,1-Sep-15,Konami Digital Entertainment,Konami Digital Entertainment,91
Transistor,0,0,20-May-14,Supergiant Games,Supergiant Games,83
Zombie Army Trilogy,0,0,6-Mar-15,Rebellion,Rebellion,72
The Bureau: XCOM Declassified,0,0,20-Aug-13,2K Marin,"2K Games,                                                                       2K",66
Wasteland 2,0,0,19-Sep-14,inXile Entertainment,inXile Entertainment,87
Wasteland 1 - The Original Classic,0,0,13-Nov-13,inXile Entertainment,inXile Entertainment,
Wasteland 2: Director's Cut,0,0,,inXile Entertainment,inXile Entertainment,
METAL GEAR SOLID V: GROUND ZEROES,0,0,18-Dec-14,Kojima Productions,Konami Digital Entertainment,80
Nosgoth,0,0,,Psyonix,"SQUARE ENIX, Eidos Interactive",
The Vanishing of Ethan Carter,0,0,25-Sep-14,The Astronauts,The Astronauts,82
The Vanishing of Ethan Carter Redux,0,0,,,,
Dead Rising 3,0,0,5-Sep-14,Capcom Game Studio Vancouver,Capcom,
Outlast,0,0,4-Sep-13,Red Barrels,Red Barrels,80
Life is Strange™,0,0,29-Jan-15,"DONTNOD Entertainment,                                                                       Feral Interactive (Mac),                                                                       Feral Interactive (Linux)","Square Enix,                                                                       Feral interactive (Mac),                                                                       Feral Interactive (Linux)",
Keep Talking and Nobody Explodes,0,0,8-Oct-15,Steel Crate Games,Steel Crate Games,67
Saints Row: Gat out of Hell,0,0,20-Jan-15,"Deep Silver Volition,                                                                       High Voltage Software",Deep Silver,66
Crazy Machines 3,0,0,18-Oct-16,"FAKT Software,                                                                       Fakt Software",Daedalic Entertainment,71
how do you Do It?,0,0,27-Feb-15,"Nina Freeman,                                                                       Emmett Butler,                                                                       Decky Coss,                                                                       Joni Kittaka",none,
PAYDAY: The Web Series,0,0,10-Mar-15,"OVERKILL - a Starbreeze Studio.,                                                                       Payday Productions",505 Games US,
PAYDAY: The Web Series: The Vault,0,0,22-Jun-16,,,
PAYDAY: The Web Series: Hector,0,0,10-Mar-15,,,
PAYDAY: The Web Series: The Elephant,0,0,10-Mar-15,,,
PAYDAY: The Web Series: Greta: The Assassin,0,0,10-Mar-15,,,
PAYDAY: The Web Series: Vlad & Gage,0,0,10-Mar-15,,,
PAYDAY: The Web Series: First World Bank,0,0,22-Jun-16,,,
Q.U.B.E. 2,0,0,13-Mar-18,Toxic Games,Trapped Nerve Games,76
Yooka-Laylee,0,0,11-Apr-17,Playtonic Games,Team17 Digital Ltd,73
Garfield Kart,0,0,16-Oct-15,"Artefacts Studios,                                                                       Microids","Gravity Europe SAS,                                                                       Microids",
JumpJet Rex,0,0,21-Apr-15,TreeFortress Games,TreeFortress Games,76
Hollow Knight,0,0,24-Feb-17,Team Cherry,Team Cherry,87
No Time To Explain Remastered,0,0,17-Jul-15,tinyBuild,tinyBuild,
"Gremlins, Inc.",0,0,10-Mar-16,"Alexey Bokulev,                                                                       Sergei Klimov,                                                                       Charlie Oscar Lima Tango Interactive Entertainment",Yukitama Creative Industries,75
Super 3-D Noah's Ark,0,0,23-Jun-15,"Wisdom Tree, Inc.","Piko Interactive LLC,                                                                       Classics Digital",
Sudden Strike 4,0,0,11-Aug-17,Kite Games,Kalypso Media Digital,70
Project CARS 2,0,0,21-Sep-17,Slightly Mad Studios,BANDAI NAMCO Entertainment,84
HITMAN™,0,0,11-Mar-16,"Io-Interactive,                                                                       IO Interactive A/S,                                                                       Feral Interactive (Linux),                                                                       Feral Interactive (Mac)","Square Enix,                                                                       IO Interactive A/S,                                                                       Feral Interactive (Linux),                                                                       Feral Interactive (Mac)",
Pathologic Classic HD,0,0,29-Oct-15,"Ice-pick Lodge,                                                                       General Arcade,                                                                       Ice-Pick Lodge","Gambitious Digital Entertainment,                                                                       Good Shepherd Entertainment",76
Planetary Annihilation: TITANS,0,0,18-Aug-15,Uber Entertainment,Uber Entertainment,
Darksiders II Deathinitive Edition,0,0,5-Nov-15,"Gunfire Games,                                                                       Vigil Games,                                                                       Nordic Games,                                                                       THQ Nordic","Nordic Games,                                                                       THQ Nordic",
Undertale,0,0,15-Sep-15,tobyfox,tobyfox,92
Tower Unite,0,0,8-Apr-16,PixelTail Games,PixelTail Games,
Bleed 2,0,0,8-Feb-17,Ian Campbell,Ian Campbell,83
NeuroVoider,0,0,31-Aug-16,Flying Oak Games,"Plug In Digital,                                                                       Playdius",
Dungelot : Shattered Lands,0,0,18-Feb-16,Red Winter Software,tinyBuild,78
The Dwarves,0,0,1-Dec-16,"KING Art Games,                                                                       KING Art","EuroVideo Medien,                                                                       THQ Nordic",61
Hard Reset,0,0,12-Jul-12,Flying Wild Hog,"Flying Wild Hog,                                                                       1C-SoftClub,                                                                       Good Shepherd Entertainment",73
Hard Reset Redux,0,0,3-Jun-16,Flying Wild Hog,"Gambitious Digital Entertainment,                                                                       Good Shepherd Entertainment",73
Forts,0,0,19-Apr-17,EarthWork Games,EarthWork Games,74
Full Metal Furies,0,0,17-Jan-18,Cellar Door Games,Cellar Door Games,85
Zombie Night Terror,0,0,20-Jul-16,NoClip,"Gambitious Digital Entertainment,                                                                       Good Shepherd Entertainment",81
Blackwake,0,0,24-Feb-17,Mastfire Studios Pty Ltd,Mastfire Studios Pty Ltd,
Little Nightmares,0,0,27-Apr-17,Tarsier Studios,BANDAI NAMCO Entertainment,81
Golf With Your Friends,0,0,29-Jan-16,Blacklight Interactive,Blacklight Interactive,
Rock of Ages 2,0,0,28-Aug-17,ACE Team,"ATLUS,                                                                       ATLUS USA",
Wizard of Legend,0,0,15-May-18,Contingent99,Contingent99,
Battle Chef Brigade,0,0,20-Nov-17,Trinket Studios,Adult Swim Games,80
Love is Dead,0,0,31-May-18,Curiobot,"Armor Games,                                                                       Armor Games Studios",
The Darkside Detective,0,0,27-Jul-17,Spooky Doorway,Spooky Doorway,75
RUINER,0,0,26-Sep-17,Reikon Games,Devolver Digital,75
Seven: Enhanced Edition,0,0,1-Dec-17,"IMGN.PRO,                                                                       Fool's Theory",IMGN.PRO,68
Absolver,0,0,29-Aug-17,Sloclap,Devolver Digital,75
Hearts of Iron IV,0,0,6-Jun-16,"Paradox Development Studios,                                                                       Paradox Development Studio",Paradox Interactive,83
Super Daryl Deluxe,0,0,10-Apr-18,Dan & Gary Games,Dan & Gary Games,
Figment,0,0,22-Sep-17,Bedtime Digital Games,Bedtime Digital Games,77
Aaero,0,0,11-Apr-17,Mad Fellows,"Reverb Triple XP,                                                                       Mad Fellows",
911 Operator,0,0,24-Feb-17,Jutsu Games,"PlayWay S.A.,                                                                       Games Operators",68
Observer,0,0,15-Aug-17,Bloober Team SA,Aspyr,78
3DMark,0,0,4-Feb-13,Futuremark,Futuremark,
Mafia III,0,0,7-Oct-16,"Hangar 13,                                                                       Aspyr (Mac)","2K,                                                                       Aspyr (Mac)",62
Purrfect Date,0,0,15-Dec-17,Bae Team,Bossa Studios,72
Sniper Elite 4,0,0,13-Feb-17,Rebellion,Rebellion,78
Serial Cleaner,0,0,14-Jul-17,"iFun4all S.A.,                                                                       iFun4All S.A.","iFun4all S.A.,                                                                       Curve Digital",64
Pool Panic,0,0,Coming Soon,Rekim,Adult Swim Games,
Shiness: The Lightning Kingdom,0,0,18-Apr-17,Enigami,"Enigami,                                                                       Plug In Digital,                                                                       Focus Home Interactive",68
Wandersong,0,0,Early 2018,Dumb and Fat Games,Dumb and Fat Games,
Dead Rising 4,0,0,14-Mar-17,"Capcom Game Studio Vancouver, Inc.",Capcom,74
PAYDAY 2: John Wick Weapon Pack,0,0,20-Oct-16,OVERKILL - a Starbreeze Studio.,,
Finding Paradise,0,0,14-Dec-17,Freebird Games,Freebird Games,81
Tales of Berseria,0,0,26-Jan-17,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,80
The Journey Down: Chapter Three,0,0,21-Sep-17,SkyGoblin,SkyGoblin,80
Everything,0,0,21-Apr-17,David OReilly,"David OReilly,                                                                       Double Fine Presents",78
Late Shift,0,0,18-Apr-17,CtrlMovie,Wales Interactive,79
Styx: Shards of Darkness,0,0,14-Mar-17,Cyanide Studio,Focus Home Interactive,72
Moonlighter,0,0,29-May-18,Digital Sun,"11 bit studios S.A.,                                                                       11 bit studios",76
The Surge,0,0,15-May-17,Deck13,Focus Home Interactive,72
Minit,0,0,3-Apr-18,"JW, Kitty, Jukio, and Dom",Devolver Digital,79
Dandara,0,0,6-Feb-18,Long Hat House,Raw Fury,70
Steel Rats,0,0,7-Nov-18,Tate Multimedia,Tate Multimedia,
Ken Follett's The Pillars of the Earth,0,0,15-Aug-17,"Daedalic Entertainment GmbH,                                                                       Daedalic Entertainment","Daedalic Entertainment GmbH,                                                                       Daedalic Entertainment",78
Tannenberg,0,0,16-Nov-17,"Blackmill Games,                                                                       M2H","M2H,                                                                       Blackmill Games",
Portal Knights,0,0,18-May-17,Keen Games,505 Games,72
60 Parsecs!,0,0,TBA,Robot Gentleman,Robot Gentleman,
Interplanetary,0,0,12-May-15,Team Jolly Roger,"Team Jolly Roger,                                                                       Team17 Digital Ltd",
Interplanetary: Enhanced Edition,0,0,2-Aug-17,Team Jolly Roger,Team17 Digital Ltd,
Do Not Feed the Monkeys,0,0,2018,Fictiorama Studios,"Badland Games,                                                                       BadLand Publishing",
Dungeons 3,0,0,13-Oct-17,Realmforge Studios,Kalypso Media Digital,75
Fight'N Rage,0,0,19-Sep-17,sebagamesdev,sebagamesdev,
We Were Here Too,0,0,2-Feb-18,Total Mayhem Games,Total Mayhem Games,69
Forged Battalion,0,0,16-Jan-18,Petroglyph,"Team17 Digital Limited,                                                                       Team17 Digital Ltd",
Rapture Rejects,0,0,,,,
Hellblade: Senua's Sacrifice,0,0,8-Aug-17,"Ninja Theory Ltd,                                                                       Ninja Theory","Ninja Theory Ltd,                                                                       Ninja Theory",83
Hellblade: Senua's Sacrifice VR Edition,0,0,31-Jul-18,Ninja Theory,Ninja Theory,87
Sundered,0,0,28-Jul-17,Thunder Lotus Games,Thunder Lotus Games,74
Getting Over It with Bennett Foddy,0,0,6-Dec-17,Bennett Foddy,Bennett Foddy,
Life is Strange: Before the Storm,0,0,31-Aug-17,Deck Nine,Square Enix,77
Slipstream,0,0,21-May-18,"Noctet Studio,                                                                       ansdor","Noctet Studio,                                                                       ansdor",
Monster Prom,0,0,27-Apr-18,Beautiful Glitch,Those Awesome Guys,72
Mutant Year Zero: Road to Eden,0,0,2018,The Bearded Ladies,Funcom,
Realm Royale - Test Server,0,0,,,,
I’m not a Monster,0,0,27-Sep-18,Cheerdealers,Alawar Premium,
Warhammer: Vermintide 2,0,0,8-Mar-18,Fatshark,Fatshark,82
Warhammer: Vermintide 2 Closed Test,0,0,,,,
Conan Exiles,0,0,8-May-18,Funcom,Funcom,67
Conan Exiles - Testlive Client,0,0,,,,
Middle-earth™: Shadow of War™,0,0,9-Oct-17,Monolith Productions,WB Games,
Paratopic,0,0,6-Sep-18,Arbitrary Metric,Arbitrary Metric,
Yakuza 0,0,0,1-Aug-18,SEGA,SEGA,86
"Warhammer 40,000: Mechanicus",0,0,Coming 2018,Bulwark Studios,Kasedo Games,
Murderous Pursuits,0,0,26-Apr-18,Blazing Griffin,Blazing Griffin,63
ISLANDERS,0,0,,,,
